398,0,5,,,,,,3.64,,3,0,,,,,1,4,,
399,1,5,,720,670,,15,3.96,4,4,3.67,,,,,11,4,,
400,0,5,1,,,,,0,,0,,,,,,14,,,
401,1,5,0,540,590,3.49,15,3.2,2,4,,,,,,14,,,
402,1,5,1,,,,,0.98,,2.33,2,1,,0,,11,4,4,
403,1,5,0,520,520,3.08,15,2.89,4,2.33,1.67,2.67,,,,1,4,4,
404,1,5,,490,520,,19,3.08,4,4,,,,,,4,,,
405,0,5,,,,,,2.06,,0,,,,,,4,,,
406,1,5,,570,650,3.06,15,3.56,4,0,,,,,,1,,,
407,1,2,,,,,,0,,0,,,,,,1,,,
408,1,2,,,,,,3.7,,3.67,,,,,,4,,,
409,0,5,0,,,,,1.25,,2.67,,,,,,1,,,
410,0,5,0,,,,12,2.28,3,1,,,,,,1,,,
411,1,5,,,,,,3,,3,,,,,,11,,,
412,0,5,,550,560,,15,3.14,4,0,,,,,,1,,,
413,0,5,1,,,,,2.67,,1.67,,,,,,11,,,
414,1,5,0,540,500,3.45,15,2.94,4,2,0,,,,,1,4,,
415,1,2,,,,,15,2.31,1,4,2,2,1.67,1,1.33,14,4,7,1
416,1,3,,400,510,,,1.78,,0,,,,,,11,,,
417,1,5,1,570,620,3.38,,2.55,,3,,,,,,1,,,
418,1,5,,550,610,2.29,,3.4,,3.67,,,,,,1,,,
419,1,5,0,450,600,3.54,15,3.54,2,2.67,,,,,,1,,,
420,1,4,0,560,620,3.45,20,2.45,4,1,,,,,,1,,,
421,0,5,,490,510,3.26,13,2.77,4,1,0,,,,,1,4,,
422,0,5,,,,,15,2.99,3,3.33,,,,,,14,,,
423,1,5,0,530,510,3.43,15,2.79,4,2.33,1,,,,,11,4,,
424,1,5,,,,,,0.88,,2,0,0,,,,1,4,4,
425,1,5,1,640,670,3.53,18,3.17,4,3,,,,,,11,,,
426,0,5,1,460,540,3.08,11,2.87,3,2.67,,,,,,11,,,
427,0,5,,,,,,3.03,,2.33,,,,,,4,,,
428,0,4,,,,,9,3.19,2,4,,,,,,1,,,
430,0,2,,,,,10,2.99,1,4,3.67,3.67,2.33,2,1.67,1,4,4,4
431,1,5,,510,620,3.26,19,3.19,4,2.33,,,,,,14,,,
432,1,5,,650,590,3,,0,,0,,,,,,1,,,
433,0,4,0,570,620,,10,3.23,3,2,,,,,,11,,,
434,1,5,,490,550,1.83,,1.1,,3.33,0,0,,,,1,4,7,
435,1,5,0,630,580,4.04,15,3.58,3,3.33,,,,,,11,,,
436,1,5,0,,,,15,3.92,3,4,,,,,,1,,,
437,1,5,0,630,570,3.27,,2.27,,1.67,2,2.33,,,,11,4,4,
438,1,5,,,,,,1.59,,0,,,,,,1,,,
439,1,5,,670,800,3.93,15,3.9,4,4,,,,,,1,,,
440,1,5,0,580,530,,,2.35,,1.67,0,,,,,11,4,,
441,1,5,,550,550,,11,2.9,3,2.67,,,,,,14,,,
442,1,5,0,560,580,,19,2.36,4,2,,,,,,11,,,
443,1,5,0,530,530,,15,3.32,3,2,,,,,,11,,,
444,0,5,0,580,640,4.01,15,3.32,,3,,,,,,1,,,
